,source,pollster,time,state,primary,ALP,COA,GRN,OTH,tweet_id
0,ghost,Essential,2018-05-22 07:35:16,Federal,True,36.0,40.0,10.0,0.0,9.988296341574e+17
1,ghost,Essential,2018-05-22 07:33:57,Federal,False,51.0,49.0,,,9.988293022034084e+17
2,ghost,Essential,2018-05-15 07:13:40,Federal,True,36.0,38.0,10.0,0.0,9.962874833808753e+17
3,ghost,Essential,2018-05-15 07:13:03,Federal,False,52.0,48.0,,,9.962873277007954e+17
4,ghost,Ipsos,2018-05-13 14:06:41,Federal,True,37.0,36.0,11.0,0.0,9.956666463111904e+17
6,ghost,Ipsos,2018-05-13 12:22:21,Federal,False,54.0,46.0,,,9.956403910838068e+17
8,ghost,Newspoll,2018-05-13 12:09:33,Federal,True,38.0,39.0,9.0,0.0,9.956371683442564e+17
10,ghost,Newspoll,2018-05-13 11:41:14,Federal,False,51.0,49.0,,,9.956300431192392e+17
11,ghost,Galaxy,2018-05-12 00:08:48,Federal,True,33.0,40.0,10.0,0.0,9.950933964976456e+17
12,ghost,ReachTEL,2018-05-11 14:38:15,Federal,True,32.5,36.7,4.9,0.0,9.949498138745404e+17
14,ghost,ReachTEL,2018-05-11 14:36:32,Federal,False,47.0,53.0,,,9.949493809132832e+17
16,ghost,Galaxy,2018-05-11 14:09:54,Federal,False,48.0,52.0,,,9.949426774508012e+17
17,ghost,Essential,2018-05-08 07:17:21,Federal,True,37.0,38.0,10.0,0.0,9.937516931405496e+17
18,ghost,Essential,2018-05-08 07:15:22,Federal,False,53.0,47.0,,,9.937511955870432e+17
20,ghost,ReachTEL,2018-05-02 07:22:35,Federal,True,35.0,36.0,10.0,0.0,9.915786817629676e+17
21,ghost,ReachTEL,2018-05-02 07:21:59,Federal,False,52.0,48.0,,,9.915785320892212e+17
23,ghost,Essential,2018-04-24 07:27:09,Federal,True,36.0,37.0,11.0,0.0,9.886807292141364e+17
25,ghost,Essential,2018-04-24 07:26:33,Federal,False,53.0,47.0,,,9.886805793642824e+17
26,ghost,Newspoll,2018-04-22 11:57:24,Federal,True,37.0,38.0,9.0,0.0,9.880239636231782e+17
27,ghost,Newspoll,2018-04-22 11:37:23,Federal,False,51.0,49.0,,,9.880189255635928e+17
29,ghost,Essential,2018-04-10 07:14:14,Federal,True,37.0,38.0,10.0,0.0,9.836040485017354e+17
30,ghost,Essential,2018-04-10 07:11:56,Federal,False,53.0,47.0,,,9.836034705308344e+17
31,ghost,Newspoll,2018-04-08 12:16:58,Federal,True,37.0,38.0,10.0,0.0,9.82955457542144e+17
32,ghost,Newspoll,2018-04-08 12:15:51,Federal,False,52.0,48.0,,,9.82955177048064e+17
33,ghost,Ipsos,2018-04-06 21:35:55,Federal,True,34.0,36.0,12.0,0.0,9.823713487343412e+17
35,ghost,Ipsos,2018-04-06 21:35:25,Federal,False,52.0,48.0,,,9.823712206905796e+17
37,ghost,Newspoll,2018-04-01 14:14:22,Federal,True,36.0,34.0,6.0,0.0,9.804482878062592e+17
38,ghost,Newspoll,2018-04-01 14:13:06,Federal,False,54.0,46.0,,,9.80447970335142e+17
40,ghost,Newspoll,2018-04-01 14:12:20,Federal,True,39.0,39.0,9.0,0.0,9.804477767428506e+17
41,ghost,Newspoll,2018-04-01 14:11:00,Federal,False,52.0,48.0,,,9.804474398145004e+17
42,ghost,Newspoll,2018-04-01 14:10:25,Federal,True,36.0,36.0,9.0,0.0,9.804472932990484e+17
