source,pollster,time,seat,primary,ALP,COA,GRN,OTH,tweet_id
ghost,ReachTEL,2019-01-27 12:40:02,Flinders,false,51.0,49.0,N/A,N/A,1.0895032949746812e+18
ghost,ReachTEL,2019-01-25 10:15:57,Higgins,true,24.8,36.9,17.7,5.1,1.088742261133783e+18
ghost,ReachTEL,2019-01-25 10:15:01,Higgins,false,52.0,48.0,N/A,N/A,1.0887420272593716e+18
ghost,ReachTEL,2018-12-16 10:19:23,Kooyong,false,52.0,48.0,N/A,N/A,1.0742476116100588e+18
ghost,ReachTEL,2018-12-04 11:52:01,Corangamite,true,40.9,32.2,11.2,0,1.0699222661237105e+18
ghost,ReachTEL,2018-12-04 11:50:52,Corangamite,false,59.0,41.0,N/A,N/A,1.0699219802482484e+18
ghost,Galaxy,2018-11-13 21:24:22,Richmond,true,49.0,0,42.0,0,1.062456158919639e+18
ghost,Galaxy,2018-11-13 21:23:39,Richmond,false,54.0,0,N/A,N/A,1.062455978891735e+18
ghost,Galaxy,2018-11-13 21:21:16,Geelong,false,56.0,44.0,N/A,N/A,1.0624553796598784e+18
ghost,Galaxy,2018-11-12 10:46:34,Mordialloc,true,41.0,42.0,7.0,0,1.0619332619480516e+18
ghost,Galaxy,2018-11-12 10:45:52,Mordialloc,false,52.0,48.0,N/A,N/A,1.061933088874234e+18
ghost,Galaxy,2018-11-12 10:45:14,Frankston,true,42.0,43.0,6.0,0,1.06193292823663e+18
ghost,Galaxy,2018-11-12 10:44:39,Frankston,false,51.0,49.0,N/A,N/A,1.0619327799007846e+18
ghost,Galaxy,2018-08-12 21:59:34,Cranbourne,false,53.0,47.0,N/A,N/A,1.028762947844096e+18
ghost,Galaxy,2018-08-12 12:04:44,Eltham,false,54.0,46.0,N/A,N/A,1.0286132506848748e+18
ghost,Galaxy,2018-08-12 12:04:07,Carrum,false,49.0,51.0,N/A,N/A,1.0286130974040842e+18
ghost,ReachTEL,2018-07-18 07:34:11,Warringah,false,40.0,60.0,N/A,N/A,1.019485469833216e+18
ghost,ReachTEL,2018-06-16 00:34:04,DarlingRange,true,37.4,31.0,3.5,0,1.0077833310380484e+18
ghost,ReachTEL,2018-06-16 00:32:11,DarlingRange,false,54.0,46.0,N/A,N/A,1.0077828563182796e+18
ghost,Galaxy,2018-05-11 07:24:55,Robertson,true,37.0,44.0,6.0,0,9.948407624572476e+17
ghost,Galaxy,2018-05-11 07:24:55,Robertson,true,37.0,44.0,6.0,0,9.948407624572476e+17
ghost,Galaxy,2018-05-11 07:23:47,Robertson,false,48.0,52.0,N/A,N/A,9.948404764686296e+17
ghost,Galaxy,2018-05-11 07:23:47,Robertson,false,48.0,52.0,N/A,N/A,9.948404764686296e+17
ghost,Galaxy,2018-05-11 07:23:08,Herbert,true,34.0,38.0,3.0,0,9.948403116995584e+17
ghost,Galaxy,2018-05-11 07:22:05,Herbert,false,49.0,51.0,N/A,N/A,9.948400493122028e+17
ghost,Galaxy,2018-05-11 07:21:27,Chisholm,true,38.0,44.0,9.0,0,9.948398909605436e+17
ghost,Galaxy,2018-05-11 07:21:27,Chisholm,true,38.0,44.0,9.0,0,9.948398909605436e+17
ghost,Galaxy,2018-05-11 07:20:35,Chisholm,false,50.0,50.0,N/A,N/A,9.948396694509856e+17
ghost,Galaxy,2018-05-11 07:20:35,Chisholm,false,50.0,50.0,N/A,N/A,9.948396694509856e+17
ghost,Galaxy,2018-03-13 06:35:28,Taylor,true,39.0,23.0,6.0,0,9.734474315085742e+17
ghost,Galaxy,2018-03-13 06:34:10,Taylor,false,51.0,0,N/A,N/A,9.734471071420416e+17
ghost,Galaxy,2018-03-13 06:32:43,Mawson,true,30.0,37.0,7.0,0,9.734467431897006e+17
ghost,Galaxy,2018-03-13 06:30:54,Mawson,false,50.0,50.0,N/A,N/A,9.734462846138614e+17
ghost,Galaxy,2018-03-13 06:29:41,Dunstan,true,30.0,44.0,8.0,0,9.734459782073016e+17
ghost,Galaxy,2018-03-13 06:29:27,Dunstan,false,47.0,53.0,N/A,N/A,9.734459188411228e+17
ghost,Galaxy,2018-03-13 06:28:16,Hartley,true,22.0,38.0,5.0,0,9.73445620756226e+17
ghost,Galaxy,2018-03-13 06:27:11,Hartley,false,0,51.0,N/A,N/A,9.734453494895698e+17
ghost,Galaxy,2018-03-05 06:24:02,Morphett,false,45.0,55.0,N/A,N/A,9.705454528472188e+17
ghost,Galaxy,2018-03-05 06:24:02,Morphett,false,45.0,55.0,N/A,N/A,9.705454528472188e+17
ghost,Galaxy,2018-03-05 06:23:43,Frome,true,15.0,44.0,3.0,36.0,9.70545373524607e+17
ghost,Galaxy,2018-03-05 06:23:02,Frome,false,0,48.0,N/A,N/A,9.705452023047537e+17
ghost,Galaxy,2018-03-05 06:22:03,Florey,true,31.0,21.0,5.0,36.0,9.70544954387841e+17
ghost,Galaxy,2018-03-05 06:21:31,Florey,false,43.0,0,N/A,N/A,9.70544818710446e+17
ghost,Galaxy,2018-03-05 06:21:31,Florey,false,43.0,0,N/A,N/A,9.70544818710446e+17
ghost,Galaxy,2018-02-26 06:16:43,Heysen,true,15.0,39.0,16.0,0,9.680068967527996e+17
ghost,Galaxy,2018-02-26 06:16:43,Heysen,true,15.0,39.0,16.0,0,9.680068967527996e+17
ghost,Galaxy,2018-02-26 06:15:50,Heysen,false,0,51.0,N/A,N/A,9.680066741610865e+17
