source,pollster,time,state,primary,ALP,COA,GRN,OTH,tweet_id
ghost,Essential,2019-02-05 06:29:17,Federal,true,36.0,38.0,10.0,0,1.0926714834600182e+18
ghost,Essential,2019-02-05 06:28:47,Federal,false,52.0,48.0,N/A,N/A,1.0926713593044582e+18
ghost,Newspoll,2019-01-28 10:55:51,Federal,true,38.0,37.0,9.0,0,1.0898394658355896e+18
ghost,Newspoll,2019-01-28 10:54:45,Federal,false,53.0,47.0,N/A,N/A,1.0898391899092992e+18
ghost,Newspoll,2019-01-27 11:36:29,Federal,false,51.0,49.0,N/A,N/A,1.0894873048617452e+18
ghost,Essential,2019-01-15 06:14:08,Federal,true,38.0,38.0,10.0,0,1.08505752867575e+18
ghost,Essential,2019-01-15 06:13:22,Federal,false,53.0,47.0,N/A,N/A,1.0850573358175272e+18
ghost,Newspoll,2018-12-25 20:46:30,Federal,true,40.0,30.0,8.0,0,1.0776669196484404e+18
ghost,Newspoll,2018-12-25 20:46:08,Federal,false,58.0,42.0,N/A,N/A,1.0776668274323825e+18
ghost,Newspoll,2018-12-25 20:45:21,Federal,true,38.0,38.0,11.0,0,1.0776666292054098e+18
ghost,Newspoll,2018-12-25 20:44:37,Federal,false,53.0,47.0,N/A,N/A,1.0776664469461647e+18
ghost,Newspoll,2018-12-25 20:44:15,Federal,true,39.0,34.0,9.0,0,1.077666353505493e+18
ghost,Newspoll,2018-12-25 20:43:42,Federal,false,54.0,46.0,N/A,N/A,1.0776662165782118e+18
ghost,Newspoll,2018-12-25 20:43:15,Federal,true,44.0,36.0,9.0,0,1.0776661043092152e+18
ghost,Newspoll,2018-12-25 20:42:42,Federal,false,56.0,44.0,N/A,N/A,1.0776659629276529e+18
ghost,Newspoll,2018-12-25 20:42:13,Federal,true,39.0,34.0,8.0,0,1.0776658424630068e+18
ghost,Newspoll,2018-12-25 20:41:21,Federal,false,54.0,46.0,N/A,N/A,1.0776656261544591e+18
ghost,Essential,2018-12-18 06:16:51,Federal,true,36.0,37.0,11.0,0,1.074911352479568e+18
ghost,Essential,2018-12-18 06:16:01,Federal,false,53.0,47.0,N/A,N/A,1.0749111406882202e+18
ghost,Ipsos,2018-12-16 10:10:41,Federal,true,37.0,36.0,13.0,0,1.0742454224224911e+18
ghost,Ipsos,2018-12-16 10:09:37,Federal,false,54.0,46.0,N/A,N/A,1.0742451504973578e+18
ghost,ReachTEL,2018-12-15 00:50:26,Federal,true,35.0,39.5,6.9,6.4,1.073742040679084e+18
ghost,ReachTEL,2018-12-15 00:49:19,Federal,false,49.0,51.0,N/A,N/A,1.073741759350362e+18
ghost,Newspoll,2018-12-09 10:33:20,Federal,true,41.0,35.0,9.0,0,1.071714405010694e+18
ghost,Newspoll,2018-12-09 10:32:03,Federal,false,55.0,45.0,N/A,N/A,1.0717140809545768e+18
ghost,ReachTEL,2018-12-08 01:52:42,Federal,true,38.2,33.5,10.6,3.5,1.0712209947175364e+18
ghost,ReachTEL,2018-12-08 01:50:06,Federal,false,54.0,46.0,N/A,N/A,1.0712203415806076e+18
ghost,Essential,2018-12-04 06:13:50,Federal,true,39.0,38.0,10.0,0,1.0698371610530776e+18
ghost,Essential,2018-12-04 06:13:02,Federal,false,54.0,46.0,N/A,N/A,1.0698369581913498e+18
ghost,Newspoll,2018-11-25 10:34:33,Federal,true,40.0,34.0,9.0,0,1.066641281638486e+18
ghost,Newspoll,2018-11-25 10:31:44,Federal,false,55.0,45.0,N/A,N/A,1.0666405740720128e+18
ghost,Essential,2018-11-20 06:11:31,Federal,true,35.0,37.0,11.0,0,1.0647631470372004e+18
ghost,Essential,2018-11-20 06:10:23,Federal,false,52.0,48.0,N/A,N/A,1.0647628639426929e+18
ghost,Ipsos,2018-11-18 09:07:40,Federal,true,34.0,37.0,13.0,0,1.0640827015551386e+18
ghost,Ipsos,2018-11-18 09:05:12,Federal,false,52.0,48.0,N/A,N/A,1.06408208026547e+18
ghost,Galaxy,2018-11-12 06:17:28,Federal,true,34.0,38.0,9.0,0,1.0618655440711108e+18
ghost,Newspoll,2018-11-11 10:33:07,Federal,true,40.0,35.0,9.0,0,1.0615674918501745e+18
ghost,Newspoll,2018-11-11 10:31:58,Federal,false,55.0,45.0,N/A,N/A,1.0615672017511014e+18
ghost,Galaxy,2018-11-11 07:23:38,Federal,false,50.0,50.0,N/A,N/A,1.0615198059313724e+18
ghost,Essential,2018-11-06 06:18:29,Federal,true,39.0,36.0,10.0,0,1.059691469194244e+18
ghost,Essential,2018-11-06 06:17:59,Federal,false,54.0,46.0,N/A,N/A,1.0596913440612884e+18
ghost,Newspoll,2018-10-28 10:32:48,Federal,true,39.0,36.0,9.0,0,1.0564939803874058e+18
ghost,Newspoll,2018-10-28 10:31:46,Federal,false,54.0,46.0,N/A,N/A,1.0564937197701652e+18
ghost,Newspoll,2018-10-23 06:21:44,Federal,true,40.0,31.0,9.0,0,1.0546188602408878e+18
ghost,Newspoll,2018-10-23 06:20:57,Federal,true,42.0,38.0,8.0,0,1.054618663259562e+18
ghost,Newspoll,2018-10-23 06:20:23,Federal,true,37.0,33.0,10.0,0,1.0546185187070688e+18
ghost,Newspoll,2018-10-23 06:19:41,Federal,true,43.0,35.0,11.0,0,1.0546183413886404e+18
ghost,Newspoll,2018-10-23 06:19:08,Federal,true,40.0,36.0,10.0,0,1.0546182065962968e+18
ghost,Essential,2018-10-23 06:17:09,Federal,true,37.0,38.0,10.0,0,1.054617705708368e+18
ghost,Essential,2018-10-23 06:16:12,Federal,false,53.0,47.0,N/A,N/A,1.0546174651104625e+18
ghost,Newspoll,2018-10-22 11:47:31,Federal,false,58.0,42.0,N/A,N/A,1.0543384576260056e+18
ghost,Newspoll,2018-10-22 11:42:40,Federal,false,54.0,46.0,N/A,N/A,1.0543372365719634e+18
ghost,Newspoll,2018-10-22 11:41:57,Federal,false,54.0,46.0,N/A,N/A,1.0543370542036746e+18
ghost,Newspoll,2018-10-22 11:39:49,Federal,false,57.0,43.0,N/A,N/A,1.0543365182302944e+18
ghost,Newspoll,2018-10-22 11:39:14,Federal,false,54.0,46.0,N/A,N/A,1.0543363725411532e+18
ghost,Newspoll,2018-10-14 10:32:13,Federal,true,38.0,37.0,11.0,0,1.0514204029232004e+18
ghost,Newspoll,2018-10-14 10:30:59,Federal,false,53.0,47.0,N/A,N/A,1.0514200938407322e+18
ghost,Ipsos,2018-10-14 09:08:22,Federal,true,35.0,35.0,15.0,0,1.051399302642262e+18
ghost,Ipsos,2018-10-14 09:07:23,Federal,false,55.0,45.0,N/A,N/A,1.0513990550776012e+18
ghost,Essential,2018-10-09 06:14:34,Federal,true,37.0,38.0,10.0,0,1.0495436233127812e+18
ghost,Essential,2018-10-09 06:13:15,Federal,false,53.0,47.0,N/A,N/A,1.0495432955447132e+18
ghost,Essential,2018-09-25 07:55:08,Federal,true,36.0,37.0,12.0,0,1.0444955044473938e+18
ghost,Essential,2018-09-25 07:54:19,Federal,false,53.0,47.0,N/A,N/A,1.0444952972487762e+18
ghost,Newspoll,2018-09-23 11:32:22,Federal,true,39.0,36.0,10.0,0,1.0438253961841009e+18
