,loser,losing_margin,seat,tpp,winner
0,LIB,44.397897744667816,Banks,55.602102255332184,ALP
1,LIB,35.269925502602305,Barton,64.73007449739768,ALP
2,ALP,47.54770894989285,Bennelong,52.45229105010714,LIB
3,ALP,40.878750765462335,Berowra,59.12124923453765,LIB
4,LIB,24.350510204081626,Blaxland,75.64948979591837,ALP
5,ALP,37.64465761812431,Bradfield,62.355342381875694,LIB
6,ALP,44.695421497347226,Calare,55.30457850265278,NAT
7,LIB,23.493570116350273,Chifley,76.50642988364972,ALP
8,ALP,41.796611899173385,Cook,58.203388100826615,LIB
9,IND1,48.544866222351004,Cowper,51.45513377764899,NAT
10,LIB,30.85161751199102,Cunningham,69.14838248800898,ALP
11,LIB,35.749832519858366,Dobell,64.25016748014166,ALP
12,LIB,42.65129094805593,Eden-Monaro,57.348709051944084,ALP
13,ALP,38.536734693877555,Farrer,61.463265306122445,LIB
14,ALP,38.67064707083078,Fowler,61.32935292916921,LIB
15,LIB,44.98163077865088,Gilmore,55.01836922134911,ALP
16,GRN,24.49479485609308,Grayndler,64.30138803837518,ALP
17,LIB,35.60063278220044,Greenway,64.39936721779955,ALP
18,ALP,46.739973466680276,Hughes,53.260026533319724,LIB
19,ALP,45.499030513317685,Hume,54.500969486682315,LIB
20,NAT,32.71616268959521,Hunter,67.28383731040479,ALP
21,LIB,36.86447596693541,Kingsford-Smith,63.135524033064605,ALP
22,LIB,41.77097411373324,Lindsay,58.22902588626677,ALP
23,ALP,44.55616729450401,Lyne,55.44383270549599,NAT
24,LIB,34.99635947576451,Macarthur,65.00364052423548,ALP
25,ALP,42.10480661291969,Mackellar,57.89519338708031,LIB
26,LIB,33.340136748647815,Macquarie,58.386570058169205,ALP
27,LIB,31.129312104511126,McMahon,68.87068789548887,ALP
28,ALP,38.90448004898459,Mitchell,61.095519951015405,LIB
29,ALP,27.755722978846705,New England,72.24427702115328,NAT
30,LIB,31.002040816326534,Newcastle,68.99795918367347,ALP
31,ALP,46.12664557607919,North Sydney,53.8733544239208,LIB
