,seat,state,winner,TPP
0,Banks,NSW,ALP,55.6
1,Barton,NSW,ALP,64.73
2,Bennelong,NSW,LIB,52.45
3,Berowra,NSW,LIB,59.12
4,Blaxland,NSW,ALP,75.65
5,Bradfield,NSW,LIB,62.36
6,Calare,NSW,NAT,55.3
7,Chifley,NSW,ALP,76.51
8,Cook,NSW,LIB,58.2
9,Cowper,NSW,NAT,51.46
10,Cunningham,NSW,ALP,69.15
11,Dobell,NSW,ALP,64.25
12,Eden-Monaro,NSW,ALP,57.35
13,Farrer,NSW,LIB,61.46
14,Fowler,NSW,LIB,61.33
15,Gilmore,NSW,ALP,55.02
16,Grayndler,NSW,ALP,64.3
17,Greenway,NSW,ALP,64.4
18,Hughes,NSW,LIB,53.26
19,Hume,NSW,LIB,54.5
20,Hunter,NSW,ALP,67.28
21,Kingsford-Smith,NSW,ALP,63.14
22,Lindsay,NSW,ALP,58.23
23,Lyne,NSW,NAT,55.44
24,Macarthur,NSW,ALP,65.0
25,Mackellar,NSW,LIB,57.9
26,Macquarie,NSW,ALP,58.39
27,McMahon,NSW,ALP,68.87
28,Mitchell,NSW,LIB,61.1
29,New England,NSW,NAT,72.24
30,Newcastle,NSW,ALP,69.0
31,North Sydney,NSW,LIB,53.87
32,Page,NSW,ALP,51.63
33,Parkes,NSW,NAT,59.54
34,Parramatta,NSW,ALP,64.4
35,Paterson,NSW,ALP,69.54
36,Reid,NSW,ALP,51.84
37,Richmond,NSW,ALP,55.36
38,Riverina,NSW,NAT,61.24
39,Robertson,NSW,ALP,55.1
40,Shortland,NSW,ALP,65.89
41,Sydney,NSW,ALP,68.52
42,Warringah,NSW,LIB,65.48
43,Watson,NSW,ALP,72.05
44,Wentworth,NSW,LIB,63.06
45,Werriwa,NSW,ALP,63.95
46,Whitlam,NSW,ALP,70.83
47,Adelaide,SA,ALP,62.69
48,Barker,SA,LIB,55.21
49,Boothby,SA,LIB,61.67
50,Grey,SA,LIB,50.7
51,Hindmarsh,SA,ALP,59.07
52,Kingston,SA,ALP,77.28
